"County","FIPS","Year","Measure Type","Variable","Value"
"Connecticut","09","2006-2010","Number","Median Rent",982
"Connecticut","09","2006-2010","Number","Margins of Error",5
"Connecticut","09","2006-2010","Ratio to State Median","Median Rent",1
"Connecticut","09","2006-2010","Ratio to State Median","Margins of Error",0.01
"Connecticut","09","2007-2011","Number","Median Rent",1020
"Connecticut","09","2007-2011","Number","Margins of Error",7
"Connecticut","09","2007-2011","Ratio to State Median","Median Rent",1
"Connecticut","09","2007-2011","Ratio to State Median","Margins of Error",0.01
"Connecticut","09","2008-2012","Number","Median Rent",1044
"Connecticut","09","2008-2012","Number","Margins of Error",5
"Connecticut","09","2008-2012","Ratio to State Median","Median Rent",1
"Connecticut","09","2008-2012","Ratio to State Median","Margins of Error",0.01
"Connecticut","09","2009-2013","Number","Median Rent",1056
"Connecticut","09","2009-2013","Number","Margins of Error",5
"Connecticut","09","2009-2013","Ratio to State Median","Median Rent",1
"Connecticut","09","2009-2013","Ratio to State Median","Margins of Error",0.01
"Connecticut","09","2010-2014","Number","Median Rent",1069
"Connecticut","09","2010-2014","Number","Margins of Error",5
"Connecticut","09","2010-2014","Ratio to State Median","Median Rent",1
"Connecticut","09","2010-2014","Ratio to State Median","Margins of Error",0.01
"Connecticut","09","2011-2015","Number","Median Rent",1075
"Connecticut","09","2011-2015","Number","Margins of Error",6
"Connecticut","09","2011-2015","Ratio to State Median","Median Rent",1
"Connecticut","09","2011-2015","Ratio to State Median","Margins of Error",0.01
"Connecticut","09","2012-2016","Number","Median Rent",1094
"Connecticut","09","2012-2016","Number","Margins of Error",5
"Connecticut","09","2012-2016","Ratio to State Median","Median Rent",1
"Connecticut","09","2012-2016","Ratio to State Median","Margins of Error",0.01
"Connecticut","09","2013-2017","Number","Median Rent",1123
"Connecticut","09","2013-2017","Number","Margins of Error",5
"Connecticut","09","2013-2017","Ratio to State Median","Median Rent",1
"Connecticut","09","2013-2017","Ratio to State Median","Margins of Error",0.01
"Fairfield County","09001","2006-2010","Number","Median Rent",1206
"Fairfield County","09001","2006-2010","Number","Margins of Error",15
"Fairfield County","09001","2006-2010","Ratio to State Median","Median Rent",1.23
"Fairfield County","09001","2006-2010","Ratio to State Median","Margins of Error",0.02
"Fairfield County","09001","2007-2011","Number","Median Rent",1249
"Fairfield County","09001","2007-2011","Number","Margins of Error",15
"Fairfield County","09001","2007-2011","Ratio to State Median","Median Rent",1.22
"Fairfield County","09001","2007-2011","Ratio to State Median","Margins of Error",0.02
"Fairfield County","09001","2008-2012","Number","Median Rent",1279
"Fairfield County","09001","2008-2012","Number","Margins of Error",16
"Fairfield County","09001","2008-2012","Ratio to State Median","Median Rent",1.23
"Fairfield County","09001","2008-2012","Ratio to State Median","Margins of Error",0.02
"Fairfield County","09001","2009-2013","Number","Median Rent",1302
"Fairfield County","09001","2009-2013","Number","Margins of Error",15
"Fairfield County","09001","2009-2013","Ratio to State Median","Median Rent",1.23
"Fairfield County","09001","2009-2013","Ratio to State Median","Margins of Error",0.02
"Fairfield County","09001","2010-2014","Number","Median Rent",1327
"Fairfield County","09001","2010-2014","Number","Margins of Error",15
"Fairfield County","09001","2010-2014","Ratio to State Median","Median Rent",1.24
"Fairfield County","09001","2010-2014","Ratio to State Median","Margins of Error",0.01
"Fairfield County","09001","2011-2015","Number","Median Rent",1348
"Fairfield County","09001","2011-2015","Number","Margins of Error",15
"Fairfield County","09001","2011-2015","Ratio to State Median","Median Rent",1.25
"Fairfield County","09001","2011-2015","Ratio to State Median","Margins of Error",0.02
"Fairfield County","09001","2012-2016","Number","Median Rent",1385
"Fairfield County","09001","2012-2016","Number","Margins of Error",14
"Fairfield County","09001","2012-2016","Ratio to State Median","Median Rent",1.27
"Fairfield County","09001","2012-2016","Ratio to State Median","Margins of Error",0.01
"Fairfield County","09001","2013-2017","Number","Median Rent",1439
"Fairfield County","09001","2013-2017","Number","Margins of Error",18
"Fairfield County","09001","2013-2017","Ratio to State Median","Median Rent",1.28
"Fairfield County","09001","2013-2017","Ratio to State Median","Margins of Error",0.02
"Hartford County","09003","2006-2010","Number","Median Rent",909
"Hartford County","09003","2006-2010","Number","Margins of Error",8
"Hartford County","09003","2006-2010","Ratio to State Median","Median Rent",0.93
"Hartford County","09003","2006-2010","Ratio to State Median","Margins of Error",0.01
"Hartford County","09003","2007-2011","Number","Median Rent",944
"Hartford County","09003","2007-2011","Number","Margins of Error",7
"Hartford County","09003","2007-2011","Ratio to State Median","Median Rent",0.93
"Hartford County","09003","2007-2011","Ratio to State Median","Margins of Error",0.01
"Hartford County","09003","2008-2012","Number","Median Rent",960
"Hartford County","09003","2008-2012","Number","Margins of Error",8
"Hartford County","09003","2008-2012","Ratio to State Median","Median Rent",0.92
"Hartford County","09003","2008-2012","Ratio to State Median","Margins of Error",0.01
"Hartford County","09003","2009-2013","Number","Median Rent",974
"Hartford County","09003","2009-2013","Number","Margins of Error",7
"Hartford County","09003","2009-2013","Ratio to State Median","Median Rent",0.92
"Hartford County","09003","2009-2013","Ratio to State Median","Margins of Error",0.01
"Hartford County","09003","2010-2014","Number","Median Rent",983
"Hartford County","09003","2010-2014","Number","Margins of Error",9
"Hartford County","09003","2010-2014","Ratio to State Median","Median Rent",0.92
"Hartford County","09003","2010-2014","Ratio to State Median","Margins of Error",0.01
"Hartford County","09003","2011-2015","Number","Median Rent",992
"Hartford County","09003","2011-2015","Number","Margins of Error",9
"Hartford County","09003","2011-2015","Ratio to State Median","Median Rent",0.92
"Hartford County","09003","2011-2015","Ratio to State Median","Margins of Error",0.01
"Hartford County","09003","2012-2016","Number","Median Rent",1016
"Hartford County","09003","2012-2016","Number","Margins of Error",8
"Hartford County","09003","2012-2016","Ratio to State Median","Median Rent",0.93
"Hartford County","09003","2012-2016","Ratio to State Median","Margins of Error",0.01
"Hartford County","09003","2013-2017","Number","Median Rent",1044
"Hartford County","09003","2013-2017","Number","Margins of Error",10
"Hartford County","09003","2013-2017","Ratio to State Median","Median Rent",0.93
"Hartford County","09003","2013-2017","Ratio to State Median","Margins of Error",0.01
"Litchfield County","09005","2006-2010","Number","Median Rent",883
"Litchfield County","09005","2006-2010","Number","Margins of Error",21
"Litchfield County","09005","2006-2010","Ratio to State Median","Median Rent",0.9
"Litchfield County","09005","2006-2010","Ratio to State Median","Margins of Error",0.02
"Litchfield County","09005","2007-2011","Number","Median Rent",898
"Litchfield County","09005","2007-2011","Number","Margins of Error",20
"Litchfield County","09005","2007-2011","Ratio to State Median","Median Rent",0.88
"Litchfield County","09005","2007-2011","Ratio to State Median","Margins of Error",0.02
"Litchfield County","09005","2008-2012","Number","Median Rent",931
"Litchfield County","09005","2008-2012","Number","Margins of Error",24
"Litchfield County","09005","2008-2012","Ratio to State Median","Median Rent",0.89
"Litchfield County","09005","2008-2012","Ratio to State Median","Margins of Error",0.02
"Litchfield County","09005","2009-2013","Number","Median Rent",926
"Litchfield County","09005","2009-2013","Number","Margins of Error",27
"Litchfield County","09005","2009-2013","Ratio to State Median","Median Rent",0.88
"Litchfield County","09005","2009-2013","Ratio to State Median","Margins of Error",0.03
"Litchfield County","09005","2010-2014","Number","Median Rent",946
"Litchfield County","09005","2010-2014","Number","Margins of Error",22
"Litchfield County","09005","2010-2014","Ratio to State Median","Median Rent",0.88
"Litchfield County","09005","2010-2014","Ratio to State Median","Margins of Error",0.02
"Litchfield County","09005","2011-2015","Number","Median Rent",955
"Litchfield County","09005","2011-2015","Number","Margins of Error",19
"Litchfield County","09005","2011-2015","Ratio to State Median","Median Rent",0.89
"Litchfield County","09005","2011-2015","Ratio to State Median","Margins of Error",0.02
"Litchfield County","09005","2012-2016","Number","Median Rent",967
"Litchfield County","09005","2012-2016","Number","Margins of Error",22
"Litchfield County","09005","2012-2016","Ratio to State Median","Median Rent",0.88
"Litchfield County","09005","2012-2016","Ratio to State Median","Margins of Error",0.02
"Litchfield County","09005","2013-2017","Number","Median Rent",995
"Litchfield County","09005","2013-2017","Number","Margins of Error",22
"Litchfield County","09005","2013-2017","Ratio to State Median","Median Rent",0.89
"Litchfield County","09005","2013-2017","Ratio to State Median","Margins of Error",0.02
"Middlesex County","09007","2006-2010","Number","Median Rent",955
"Middlesex County","09007","2006-2010","Number","Margins of Error",23
"Middlesex County","09007","2006-2010","Ratio to State Median","Median Rent",0.97
"Middlesex County","09007","2006-2010","Ratio to State Median","Margins of Error",0.02
"Middlesex County","09007","2007-2011","Number","Median Rent",991
"Middlesex County","09007","2007-2011","Number","Margins of Error",24
"Middlesex County","09007","2007-2011","Ratio to State Median","Median Rent",0.97
"Middlesex County","09007","2007-2011","Ratio to State Median","Margins of Error",0.02
"Middlesex County","09007","2008-2012","Number","Median Rent",1005
"Middlesex County","09007","2008-2012","Number","Margins of Error",25
"Middlesex County","09007","2008-2012","Ratio to State Median","Median Rent",0.96
"Middlesex County","09007","2008-2012","Ratio to State Median","Margins of Error",0.02
"Middlesex County","09007","2009-2013","Number","Median Rent",1007
"Middlesex County","09007","2009-2013","Number","Margins of Error",34
"Middlesex County","09007","2009-2013","Ratio to State Median","Median Rent",0.95
"Middlesex County","09007","2009-2013","Ratio to State Median","Margins of Error",0.03
